,Title,Episodes,Average Score (Out of 100),Popularity,Is Adult,Country of Origin,Source,Genres,Start Date,End Date,Description,Season,Season Year,Duration,Type
0,CLUSTER EDGE,25.0,53.0,1455,False,JP,ORIGINAL,"['Action', 'Fantasy', 'Sci-Fi']",4/10/2005,28/3/2006,"Cluster Edge Academy isn't just any school; it's THE school, where the offspring of the elite come together to prepare for their roles running a world where artificial soldiers and religious sects are major factors in the battle for total control. Which may be part of why new transfer student Agate Fluorite doesn't quite seem to fit in. It's not just that Agate's enthusiastic attitude stands out among the somber, brooding balance of the student body. There's something about him that demands notice, even from jaded honors students like Beryl Jasper, and from the moment of arrival he's been at the center of a series of mysteries that not even Agate understands. Because Agate's not just another student, he's part of a something so momentous, and dangerous, that the world that built Cluster Edge may not survive its passing. <br><br>
(Source: Sentai Filmworks) ",FALL,2005.0,24.0,TV
1,Full Metal Panic!,24.0,72.0,65033,False,JP,LIGHT_NOVEL,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']",8/1/2002,18/6/2002,"Sousuke Sagara, a seventeen year old military specialist working for the secret organization MITHRIL, has been assigned to protect the latest ""Whispered"" candidate Kaname Chidori. To complete this task Sousuke will have to deal with enemies from his past as well as the occasional panty thief. Unfortunately for Sousuke, the toughest part of his mission isn't only protecting Miss Chidori but also getting used to living an average High School students life, no easy task for someone raised on the battlefield.<br><br>
(Source: Anime News Network)",WINTER,2002.0,24.0,TV
2,Full Metal Panic? Fumoffu,12.0,77.0,33430,False,JP,LIGHT_NOVEL,"['Action', 'Comedy', 'Romance']",26/8/2003,18/10/2003,"It's back-to-school mayhem with Kaname Chidori and her war-freak classmate Sousuke Sagara as they encounter more misadventures in and out of Jindai High School. But when Kaname gets into some serious trouble, Sousuke takes the guise of Bonta-kun - the gun-wielding, butt-kicking mascot. And while he struggles to continue living as a normal teenager, Sousuke also has to deal with protecting his superior officer Teletha Testarossa, who has decided to take a vacation from Mithril and spend a couple of weeks as his and Kaname's classmate.
<br><br>
(Source: Anime News Network)",SUMMER,2003.0,24.0,TV
3,Full Metal Panic! The Second Raid,13.0,77.0,30767,False,JP,LIGHT_NOVEL,"['Action', 'Mecha', 'Sci-Fi']",14/7/2005,20/10/2005,"This series is set about two months after the events ocurred in the Tuatha de Danaan at the end of the original series. Mithril becomes aware of a secret organization that has technology able to counter the ECS (Electronic Cloaking System) mode. This organization, known as Amalgam, also has ""Black Technology"", obtained from ""Whispered"" like Kaname Chidori, and like the other intelligency agencies, they intend to obtain more. However, when Sousuke's mission to protect Chidori is terminated by Mithril, all seems to be in place for Amalgam's plans... Like many of its fans know, it is based of the FMP novel ""The End of Day by Day.""
<br><br>
(Source: Anime News Network)",SUMMER,2005.0,24.0,TV
4,Gakuen Alice,26.0,72.0,12711,False,JP,MANGA,"['Comedy', 'Drama', 'Fantasy', 'Supernatural']",30/10/2004,14/5/2005,"Sakura Mikan and Imai Hotaru are best friends, and Mikan is shocked to find that Hotaru is transferring to a school in Tokyo for gifted students like her - Alice Academy. Mikan hears rumors that the students are like prisoners there, and worried what would happen to Hotaru, she runs away to head to the school herself. She finds out all the wonderful things about this school. And she heads into a great adventure!!",FALL,2004.0,25.0,TV
5,Soukyuu no Fafner,25.0,68.0,9370,False,JP,ORIGINAL,"['Drama', 'Mecha', 'Sci-Fi']",5/7/2004,27/12/2004,"Tatsumiyajima is the central island in the middle of a small cluster of islands, in a sleepy backwater of the Japanese isles. Not much happens there, and the island's young people go to school knowing that their lives are likely to remain peaceful and undisturbed. Or so they have been taught... but the truth is different. The fate of mankind is on the line, and Tatsumiyajima is the last line of defense against a hostile and incomprehensible enemy. At the center of it all, fighting for Humanity's continued existence, is the giant robot Fafner, the dragon that guards this final treasure of mankind.
<br><br>
(Source: Anime News Network)
<br><br>
<i>Note: The last episode aired with a runtime of ~48 minutes as opposed to the standard 24 minute long episode.</i>",SUMMER,2004.0,24.0,TV
6,Mahou Shoujo Lyrical Nanoha,13.0,71.0,19949,False,JP,ORIGINAL,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo']",3/10/2004,26/12/2004,"3rd grader Takamachi Nanoha stumbled upon an injured talking ferret after hearing his telepathic cries for help. The ferret turned out to be Yuuno, an archeologist and mage from another world who had accidentally scattered the dangerous Jewel Seeds throughout Earth. Without the strength to collect the Jewel Seeds, Yuuno had resumed a ferret form and needed someone else to take on the task for him. He gave a red jewel to Nanoha explaining to her with this she could transform and use magic to combat the monsters that threatened them due to the Jewel Seeds. But the monsters are the least of their worries, as Yuuno and Nanoha are not the only ones out to collect the Jewel Seeds. ",FALL,2004.0,25.0,TV
7,Mahou Shoujo Lyrical Nanoha A's,13.0,77.0,11674,False,JP,ORIGINAL,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo']",2/10/2005,25/12/2005,"After the events of the Lost Logia case, Nanoha waits patiently for the day she can reunite with her newfound friend, Fate. Although being an exceptionally powerful mage, Nanoha spends her days normally with her friends on Earth. But peace is once again suddenly shattered, as Nanoha is without warning attacked by a powerful mage. A group of violent mages have been attacking anything with magic power for their own goals. Nanoha and Fate, along with their friends Yuuno, Arf, Chrono and the Space/Time Administration Bureau must once more band together to stop these renegade mages from hurting anyone or anything else. Takes place after the first season of Lyrical Nanoha.",FALL,2005.0,25.0,TV
8,SHUFFLE!,24.0,65.0,34353,False,JP,VISUAL_NOVEL,"['Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Romance']",8/7/2005,6/1/2006,"In present times, Gods and Demons coexist together with Humans after the door between each of these worlds had opened. Tsuchimi Rin is a normal young high school student attending Verbena Academy, spending his days living peacefully with his childhood friend Kaede. Unexpectedly, one day the King of Gods, the King of Demons and their families move into be Rin's next door neighbors. Apparently the daughter of the Gods, Sia, and the daughter of the demons, Nerine, are both deeply in love with Rin after having met him the past. Along with his playful friendship with upperclassmen Asa and his encounter with the silent but cute Primula, Rin has much on his hands dealing with the affections of each of these girls. Based on the eroge by Navel.",SUMMER,2005.0,23.0,TV
9,Kidou Senshi Gundam,43.0,76.0,28256,False,JP,ORIGINAL,"['Drama', 'Mecha', 'Sci-Fi']",7/4/1979,26/1/1980,"What would you do if you suddenly found yourself in the middle of a war? Teenager Amuro Ray sees his life shattered when war comes to his home. During the chaos, Amuro finds himself inside the mobile suit Gundam, the Earth Federation's new secret weapon, and he somehow gets it to work. Amuro and the other refugees flee their homeland on the warship White Base. This group of children and inexperienced soldiers will change the outcome of the war. <br><br>
(Source: Sunrise)",SPRING,1979.0,25.0,TV
10,Kidou Senshi Gundam: Dai 08 MS Shotai,12.0,76.0,15466,False,JP,ORIGINAL,"['Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']",25/1/1996,25/7/1999,"UC 0079 - After the success of Operation Odessa, more and more Earth Federation soldiers are sent to earth to free it from the hands of the Principality of Zeon. As Zeonic troops retreat to unknown parts of the world, it's up to the Earth Federation Ground Force to find them and exterminate them. <br><br>
Ensign Shiro Amada is made leader of the 08th MS Team, leading a team of Ground Type Gundams into battle. His mission: to distract the enemy and find a mysterious new Zeon weapon. But can he complete it when he falls in love with a Zeon pilot, named Aina Sahalin? <br><br>
(Source: Otakufreakmk2, copyedited by Kolokotronis) ",WINTER,1996.0,24.0,OVA
11,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,6.0,79.0,14044,False,JP,ORIGINAL,"['Adventure', 'Drama', 'Mecha', 'Sci-Fi']",25/3/1989,25/8/1989,"The Side 6 space colony is a neutral oasis in the war between Zeon and the Earth Federation. Alfred Izuruha, a ten-year-old boy, finds relief from the tedium of schoolwork by following the war's progress and collecting military memorabilia. When rumors that the colony is hiding a Federation mobile suit development program bring Zeon special forces to Side 6, Alfred views them as a source of additional excitement. But, as the Zeon mission becomes more urgent and both sides take increasingly desperate measures, he might be in for an unexpectedly close look at the reality of war.",SPRING,1989.0,27.0,OVA
